Commit,Target Amount,Amount,Expiration Date,Name,Client Batch Quarter
,,,05/01/2013,Opp-Panta Rhei Information-Q2 2013-2,Q2 2013
,338.77,207.83,05/13/2013,Opp-DISTI/LAKE SOLUTIONS AG-2013 Q2-1,Q2 2013
,353.37,353.37,05/23/2013,Opp-VNSP/COLUMBA INFORMATIK AG-2013 Q2-1,Q2 2013
,467.95,467.95,05/24/2013,Opp-Bachmann electronic-Q2 2013-2,Q2 2013
,,,05/27/2013,Opp-BDS Gunz & Co-Q2 2013-4,Q2 2013
,,,05/31/2013,Opp-UNIVERSITT INNSBRUCK-Q2 2013-3,Q2 2013
,,,05/31/2013,Opp-POLLMANN INTERNATIONAL-Q2 2013-2,Q2 2013
,692.02,692.02,05/31/2013,Opp-MUNDO AG FRUCHTIMPORT-2013 Q2-1,Q2 2013
,,,05/31/2013,Opp-LGV-Frischgemüse Wien-Q2 2013-2,Q2 2013
,331.29,331.29,05/31/2013,Opp-EIDG.OBERZOLLDIREKTION-2013 Q2-1,Q2 2013
,485.04,485.04,06/01/2013,Opp-Zirovnik Daniel    TRU-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,4519.45,4519.45,06/01/2013,Opp-ZINGG TRANSPORTE AG-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,2668.74,2668.74,06/01/2013,Opp-MIKRON SA BOUDRY-Q2 2013-2,Q2 2013
,242.52,242.52,06/01/2013,"Opp-Wrndle Thomas, Ge TRU-Q2 2013-1",Q2 2013
,88265.45,88265.45,06/01/2013,Opp-VERISIGN SWITZERLAND SA-Q2 2013-1,Q2 2013
,28440.67,28440.67,06/01/2013,Opp-VERISIGN SARL-Q2 2013-1,Q2 2013
,240.66,240.66,06/01/2013,Opp-ADEG Pennerstorfer TRU-Q2 2013-1,Q2 2013
,4915.78,4915.78,06/01/2013,Opp-UC4 Software GmbH-Q2 2013-1,Q2 2013
,485.04,485.04,06/01/2013,Opp-Taschner Hans      TRU-Q2 2013-1,Q2 2013
,946.15,946.15,06/01/2013,Opp-TRU/ORSAY-Q2 2013-1,Q2 2013
,1894.93,1894.93,06/01/2013,Opp-TRU/ORSAY S.A.R.L.-Q2 2013-9,Q2 2013
,1283.64,1283.64,06/01/2013,Opp-TRU/ORSAY S.A.R.L.-Q2 2013-8,Q2 2013
,945.87,945.87,06/01/2013,Opp-TRU/ORSAY S.A.R.L.-Q2 2013-6,Q2 2013
,776.28,776.28,06/01/2013,Opp-TRU/ORSAY S.A.R.L.-Q2 2013-5,Q2 2013
,945.87,945.87,06/01/2013,Opp-TRU/ORSAY S.A.R.L.-Q2 2013-5,Q2 2013
,507.36,507.36,06/01/2013,Opp-TRU/ORSAY S.A.R.L.-Q2 2013-4,Q2 2013
,946.15,946.15,06/01/2013,Opp-TRU/ORSAY S.A.R.L.-Q2 2013-3,Q2 2013
,507.36,507.36,06/01/2013,Opp-TRU/ORSAY S.A.R.L.-Q2 2013-2,Q2 2013
,3784.32,3784.32,06/01/2013,Opp-TRU/ORSAY S.A.R.L.-Q2 2013-10,Q2 2013
AUTOREN / EVERGREEN,2762.05,2762.05,06/01/2013,Opp-AKROS AG-Q2 2013-1,Q2 2013
,507.36,507.36,06/01/2013,Opp-TRU/ORSAY S.A.R.L.-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,2466.66,2466.66,06/01/2013,Opp-TEPPICHFABRIK DURA-MALANS AG-Q2 2013-1,Q2 2013
,4119.34,4119.34,06/01/2013,Opp-TBG                TRU-Q2 2013-1,Q2 2013
,2579.35,2579.35,06/01/2013,Opp-HAAKON AG-Q2 2013-1,Q2 2013
,970.08,970.08,06/01/2013,Opp-PB Fein + Frisch2  TRU-Q2 2013-1,Q2 2013
,14069.01,14069.01,06/01/2013,"Opp-ARS Software GmbH,-Q2 2013-1",Q2 2013
,30.1,30.1,06/01/2013,Opp-SWISSLOG AG             CLIENT-Q2 2013-1,Q2 2013
,485.04,485.04,06/01/2013,Opp-Maier B & E KG     TRU-Q2 2013-1,Q2 2013
,1367.64,1367.64,06/01/2013,Opp-Stork Prints Austria-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,4064.69,4064.69,06/01/2013,Opp-SIX SIS AG-Q2 2013-1,Q2 2013
,4530.79,4530.79,06/01/2013,Opp-SIX S A G AG-Q2 2013-1,Q2 2013
,1074.01,1074.01,06/01/2013,Opp-SIG Combibloc GmbH-Q2 2013-1,Q2 2013
,485.04,485.04,06/01/2013,Opp-Adeg - Meisterfros TRU-Q2 2013-1,Q2 2013
,960,960,06/01/2013,Opp-Aichner Michael    TRU-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,3192.59,3192.59,06/01/2013,Opp-ROHNER AG CHEM.FABRIK-Q2 2013-1,Q2 2013
,2326.63,2326.63,06/01/2013,Opp-Amari Austria GmbH-Q2 2013-1,Q2 2013
,481.32,481.32,06/01/2013,Opp-Anton  Kovsca      TRU-Q2 2013-1,Q2 2013
,242.52,242.52,06/01/2013,Opp-Artegra Werkstaett TRU-Q2 2013-1,Q2 2013
,240,240,06/01/2013,Opp-Pichler Hans Gmbh& TRU-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,422.14,422.14,06/01/2013,Opp-ODLO INTERNATIONAL AG-Q2 2013-1,Q2 2013
,11798.79,11798.79,06/01/2013,Opp-NESTLE NESPRESSO SA-Q2 2013-1,Q2 2013
,960,960,06/01/2013,Opp-Mag Pichler Ernst  TRU-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,335.89,335.89,06/01/2013,Opp-MIKRON SA BOUDRY-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,1629.65,1629.65,06/01/2013,Opp-BBP AG-Q2 2013-1,Q2 2013
,10995.47,10995.47,06/01/2013,Opp-LAUDER ESTEE GMBH-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,1539.94,1539.94,06/01/2013,Opp-LAEDERACH AG / TRANSPORTE-Q2 2013-1,Q2 2013
,485.04,485.04,06/01/2013,Opp-Kaufhaus Thomas H TRU-Q2 2013-1,Q2 2013
,242.52,242.52,06/01/2013,Opp-Kaufhaus - Caterin TRU-Q2 2013-1,Q2 2013
,2897.8,2897.8,06/01/2013,Opp-Karl Egger OG-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,1478.85,1478.85,06/01/2013,Opp-KARL MEYER & CO AG-Q2 2013-1,Q2 2013
,485.04,485.04,06/01/2013,Opp-Birnbauer OG       TRU-Q2 2013-1,Q2 2013
,91.61,91.61,06/01/2013,Opp-Bsendorfer-Q2 2013-1,Q2 2013
,485.04,485.04,06/01/2013,Opp-Hans Peter Kurzman TRU-Q2 2013-1,Q2 2013
,905.54,905.54,06/01/2013,Opp-Hagleitner Hygiene-Q2 2013-1,Q2 2013
,485.04,485.04,06/01/2013,Opp-Gerda Brigitte St TRU-Q2 2013-1,Q2 2013
,485.04,485.04,06/01/2013,Opp-Gerauer Ingeburg   TRU-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,978.85,978.85,06/01/2013,Opp-GUESS EUROPE SAGL-Q2 2013-1,Q2 2013
,242.52,242.52,06/01/2013,Opp-Fuchs Helmut       TRU-Q2 2013-1,Q2 2013
,485.04,485.04,06/01/2013,Opp-Friedrich Oberreit TRU-Q2 2013-1,Q2 2013
,485.04,485.04,06/01/2013,Opp-Ferdinand Fuhrmann TRU-Q2 2013-1,Q2 2013
,329.04,329.04,06/01/2013,Opp-FREUDENBERG SPEZIALDIC-Q2 2013-1,Q2 2013
AUTOREN / EVERGREEN,4597.08,4597.08,06/01/2013,Opp-FILATURES DE LAINES-Q2 2013-1,Q2 2013
,,,06/07/2013,Opp-Maschinenfabrik Laska-Q2 2013-2,Q2 2013
,1321,1321,06/07/2013,Opp-Joka Werke-Q2 2013-3,Q2 2013
,1321,1321,06/10/2013,Opp-Traunfellner Anton-Q2 2013-2,Q2 2013
,322,322,06/10/2013,Opp-Jäger Bau GesmbH-Q2 2013-3,Q2 2013
,,,06/10/2013,Opp-Color Drack-Q2 2013-2,Q2 2013
,1321,1321,06/10/2013,Opp-Ehrlich Baustoffhandel-Q2 2013-2,Q2 2013
,322,322,06/20/2013,Opp-LEYRER + GRAF BAUUNTER-Q2 2013-2,Q2 2013
,14.31,14.31,06/21/2013,Opp-Grabher Karl-Q2 2013-2,Q2 2013
,14.31,14.31,06/23/2013,Opp-Trepka Alfred-Q2 2013-2,Q2 2013
,127.71,127.71,06/23/2013,Opp-BA/APC-PRO SA-2013 Q2-1,Q2 2013
,927.61,927.61,06/23/2013,Opp-ERZINGER AG BUERSTENFABRIK-2013 Q2-2,Q2 2013
,1139,1139,06/25/2013,Opp-ERZINGER AG BUERSTENFABRIK-2013 Q2-1,Q2 2013
,11.73,11.73,06/26/2013,Opp-LIBRO Handels GmbH TRU-Q2 2013-2,Q2 2013
,14.31,14.31,06/29/2013,Opp-Litzlbauer N.Kfz-Q2 2013-2,Q2 2013
Stretch,4573,4573,06/30/2013,Opp-ZWISSIG TRANSPORTS-Q2 2013-1,Q2 2013
,52540.78,52540.78,06/30/2013,Opp-Valartis Bank-Q2 2013-1,Q2 2013
,927.61,927.61,06/30/2013,Opp-VNSP/PIT INFORMATIONSSYSTEME-2013 Q2-1,Q2 2013
AUTOREN / EVERGREEN,6193.43,6193.43,06/30/2013,Opp-V/SMP DEPT.FINANZEN UND EDV-Q2 2013-1,Q2 2013
,,,06/30/2013,Opp-Team 7-Q2 2013-2,Q2 2013
,287.12,287.12,06/30/2013,Opp-VNSP/THETAZ INFORMATIK AG-2013 Q2-1,Q2 2013
